                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.64154,                0.50283,                 1.0984,                0.62695,                  0.565,                 0.5691,                0.25041,                 2.1068,                 1.6743,                 2.6888,              0.0008516,              0.0008516,              0.0008516
                    118,                0.64783,                0.52035,                 1.1006,                0.60331,                   0.59,                0.57128,                0.25994,                 2.0724,                 1.5956,                 2.6884,              0.0008417,              0.0008417,              0.0008417
                    119,                 0.6468,                0.50144,                 1.0983,                0.66436,                   0.51,                0.55147,                0.25593,                 2.0702,                 1.6932,                 2.6455,              0.0008318,              0.0008318,              0.0008318
                    120,                0.65404,                0.51506,                 1.1059,                0.60904,                  0.555,                0.56177,                  0.256,                 2.1015,                 1.6311,                  2.678,              0.0008219,              0.0008219,              0.0008219
                    121,                0.64833,                0.50927,                 1.0979,                0.61413,                 0.5725,                0.57442,                0.26435,                  2.087,                 1.5953,                 2.6423,               0.000812,               0.000812,               0.000812
                    122,                0.63563,                0.48994,                 1.0933,                0.56939,                0.59834,                0.56438,                0.26386,                  2.122,                 1.5999,                 2.7297,              0.0008021,              0.0008021,              0.0008021
                    123,                0.62538,                0.48468,                 1.0851,                0.59936,                  0.555,                0.55153,                0.25662,                 2.0928,                 1.6437,                 2.6965,              0.0007922,              0.0007922,              0.0007922
                    124,                0.63894,                0.49702,                 1.0956,                0.62555,                0.53459,                 0.5722,                0.27266,                 2.0414,                 1.6243,                 2.5911,              0.0007823,              0.0007823,              0.0007823
                    125,                0.62599,                0.48127,                 1.0876,                0.56342,                 0.5925,                0.56668,                0.26098,                 2.1033,                  1.612,                 2.6966,              0.0007724,              0.0007724,              0.0007724
                    126,                0.63036,                0.47925,                 1.0878,                0.59877,                0.58202,                0.57293,                0.26263,                 2.0917,                  1.562,                 2.6841,              0.0007625,              0.0007625,              0.0007625
                    127,                0.62086,                0.48562,                 1.0844,                0.63621,                 0.5825,                0.58379,                0.26768,                 2.0681,                 1.6439,                 2.6676,              0.0007526,              0.0007526,              0.0007526
                    128,                0.61246,                0.47589,                 1.0787,                0.62986,                0.57005,                 0.5777,                0.27236,                 2.0742,                 1.5736,                 2.6961,              0.0007427,              0.0007427,              0.0007427
                    129,                 0.6199,                0.48299,                 1.0768,                0.58966,                   0.59,                0.56867,                0.26165,                 2.0756,                 1.5633,                 2.6812,              0.0007328,              0.0007328,              0.0007328
                    130,                0.62241,                0.48275,                 1.0831,                0.59369,                   0.58,                0.55876,                0.25059,                 2.0989,                 1.6789,                 2.7058,              0.0007229,              0.0007229,              0.0007229
                    131,                0.60566,                0.47312,                 1.0711,                0.60108,                0.60649,                0.57061,                0.25991,                 2.0847,                  1.679,                 2.7237,               0.000713,               0.000713,               0.000713
                    132,                0.61399,                0.47083,                  1.078,                0.64792,                 0.5525,                 0.5729,                0.26151,                 2.0797,                 1.6457,                 2.6859,              0.0007031,              0.0007031,              0.0007031
                    133,                0.60645,                0.46968,                 1.0798,                0.60043,                 0.5275,                0.54913,                0.24647,                 2.1304,                 1.8332,                  2.766,              0.0006932,              0.0006932,              0.0006932
                    134,                0.60425,                0.46476,                 1.0715,                0.61428,                0.51759,                0.54335,                0.24323,                 2.0776,                 1.8266,                  2.678,              0.0006833,              0.0006833,              0.0006833
                    135,                0.60776,                0.46904,                 1.0753,                0.56642,                   0.57,                0.54238,                0.25158,                 2.0783,                  1.763,                 2.6848,              0.0006734,              0.0006734,              0.0006734
                    136,                0.58902,                0.45543,                 1.0694,                  0.587,                0.54721,                 0.5472,                0.25196,                 2.0909,                 1.7641,                  2.728,              0.0006635,              0.0006635,              0.0006635
                    137,                0.59623,                0.45239,                 1.0692,                 0.5801,                 0.5425,                0.53615,                0.24532,                 2.0929,                 1.7699,                 2.7411,              0.0006536,              0.0006536,              0.0006536
